lh.aparc.a2009s.area	lh_G_and_S_frontomargin_area	lh_G_and_S_occipital_inf_area	lh_G_and_S_paracentral_area	lh_G_and_S_subcentral_area	lh_G_and_S_transv_frontopol_area	lh_G_and_S_cingul-Ant_area	lh_G_and_S_cingul-Mid-Ant_area	lh_G_and_S_cingul-Mid-Post_area	lh_G_cingul-Post-dorsal_area	lh_G_cingul-Post-ventral_area	lh_G_cuneus_area	lh_G_front_inf-Opercular_area	lh_G_front_inf-Orbital_area	lh_G_front_inf-Triangul_area	lh_G_front_middle_area	lh_G_front_sup_area	lh_G_Ins_lg_and_S_cent_ins_area	lh_G_insular_short_area	lh_G_occipital_middle_area	lh_G_occipital_sup_area	lh_G_oc-temp_lat-fusifor_area	lh_G_oc-temp_med-Lingual_area	lh_G_oc-temp_med-Parahip_area	lh_G_orbital_area	lh_G_pariet_inf-Angular_area	lh_G_pariet_inf-Supramar_area	lh_G_parietal_sup_area	lh_G_postcentral_area	lh_G_precentral_area	lh_G_precuneus_area	lh_G_rectus_area	lh_G_subcallosal_area	lh_G_temp_sup-G_T_transv_area	lh_G_temp_sup-Lateral_area	lh_G_temp_sup-Plan_polar_area	lh_G_temp_sup-Plan_tempo_area	lh_G_temporal_inf_area	lh_G_temporal_middle_area	lh_Lat_Fis-ant-Horizont_area	lh_Lat_Fis-ant-Vertical_area	lh_Lat_Fis-post_area	lh_Pole_occipital_area	lh_Pole_temporal_area	lh_S_calcarine_area	lh_S_central_area	lh_S_cingul-Marginalis_area	lh_S_circular_insula_ant_area	lh_S_circular_insula_inf_area	lh_S_circular_insula_sup_area	lh_S_collat_transv_ant_area	lh_S_collat_transv_post_area	lh_S_front_inf_area	lh_S_front_middle_area	lh_S_front_sup_area	lh_S_interm_prim-Jensen_area	lh_S_intrapariet_and_P_trans_area	lh_S_oc_middle_and_Lunatus_area	lh_S_oc_sup_and_transversal_area	lh_S_occipital_ant_area	lh_S_oc-temp_lat_area	lh_S_oc-temp_med_and_Lingual_area	lh_S_orbital_lateral_area	lh_S_orbital_med-olfact_area	lh_S_orbital-H_Shaped_area	lh_S_parieto_occipital_area	lh_S_pericallosal_area	lh_S_postcentral_area	lh_S_precentral-inf-part_area	lh_S_precentral-sup-part_area	lh_S_suborbital_area	lh_S_subparietal_area	lh_S_temporal_inf_area	lh_S_temporal_sup_area	lh_S_temporal_transverse_area	lh_WhiteSurfArea_area
Caltech_0051456	1092.0	1000.0	1020.0	1061.0	551.0	1590.0	822.0	879.0	414.0	411.0	1538.0	971.0	214.0	883.0	3250.0	5372.0	395.0	484.0	1412.0	1211.0	1252.0	1777.0	887.0	1803.0	1357.0	2305.0	2281.0	1643.0	1847.0	2011.0	704.0	167.0	321.0	1527.0	460.0	638.0	2151.0	2179.0	266.0	284.0	895.0	1552.0	1191.0	1606.0	2520.0	795.0	374.0	1085.0	1296.0	695.0	277.0	1569.0	1193.0	2294.0	130.0	2332.0	823.0	1054.0	575.0	818.0	1933.0	256.0	533.0	1013.0	1252.0	880.0	2456.0	1135.0	1089.0	462.0	856.0	725.0	3611.0	307.0	90011.3
Caltech_0051457	1158.0	1601.0	1555.0	1554.0	587.0	1858.0	1019.0	1220.0	493.0	282.0	1595.0	1439.0	307.0	1004.0	4334.0	6658.0	455.0	615.0	2003.0	1376.0	1891.0	2091.0	1045.0	2294.0	2152.0	2348.0	2648.0	2259.0	2317.0	2720.0	809.0	419.0	566.0	1773.0	581.0	704.0	2079.0	2557.0	258.0	200.0	920.0	1636.0	1420.0	2300.0	2311.0	1206.0	511.0	1327.0	1653.0	713.0	407.0	2003.0	1560.0	3450.0	357.0	2468.0	897.0	1268.0	677.0	889.0	2057.0	395.0	739.0	1196.0	737.0	827.0	2984.0	963.0	1509.0	585.0	1096.0	1363.0	4249.0	230.0	109725.0
Caltech_0051458	790.0	1699.0	1139.0	999.0	488.0	2030.0	1275.0	1075.0	475.0	214.0	998.0	1160.0	230.0	908.0	3285.0	5197.0	255.0	450.0	1447.0	917.0	1384.0	1890.0	959.0	1836.0	1743.0	2097.0	1699.0	1347.0	1947.0	1550.0	738.0	473.0	465.0	1426.0	405.0	537.0	1951.0	2082.0	303.0	219.0	719.0	1523.0	1278.0	1410.0	2019.0	851.0	368.0	1231.0	1209.0	495.0	365.0	2123.0	1344.0	1836.0	381.0	2030.0	799.0	628.0	701.0	509.0	1607.0	272.0	677.0	1021.0	1259.0	760.0	1804.0	1121.0	1396.0	436.0	699.0	1424.0	4903.0	240.0	89521.5
Caltech_0051459	871.0	1324.0	1187.0	1055.0	523.0	1928.0	1575.0	1360.0	487.0	170.0	1539.0	1218.0	225.0	788.0	3635.0	5484.0	375.0	487.0	1788.0	1128.0	1169.0	1663.0	773.0	2109.0	1825.0	2772.0	2478.0	1550.0	2083.0	1851.0	852.0	323.0	435.0	1549.0	708.0	775.0	2189.0	2610.0	247.0	330.0	861.0	2026.0	1417.0	1954.0	2260.0	843.0	575.0	1004.0	1360.0	731.0	308.0	1933.0	1297.0	2562.0	284.0	2686.0	935.0	832.0	606.0	779.0	1589.0	311.0	775.0	1317.0	1449.0	789.0	1953.0	1487.0	1344.0	524.0	938.0	1268.0	4321.0	264.0	99019.1
Caltech_0051460	911.0	1271.0	938.0	1368.0	546.0	1763.0	977.0	1020.0	405.0	195.0	1610.0	958.0	222.0	653.0	3832.0	5609.0	365.0	407.0	1639.0	1324.0	1241.0	2156.0	1035.0	1834.0	1580.0	2336.0	2312.0	1437.0	1766.0	1218.0	715.0	190.0	547.0	1507.0	506.0	601.0	1797.0	2275.0	275.0	139.0	773.0	1731.0	1271.0	2248.0	2508.0	682.0	442.0	1065.0	1332.0	954.0	412.0	1880.0	1228.0	2327.0	234.0	2192.0	1134.0	895.0	735.0	490.0	1306.0	292.0	656.0	1106.0	1476.0	754.0	1823.0	908.0	981.0	543.0	575.0	1101.0	3604.0	266.0	91406.4
Caltech_0051461	870.0	1176.0	1323.0	1070.0	617.0	1987.0	1103.0	867.0	307.0	175.0	1184.0	1444.0	228.0	959.0	2954.0	6013.0	397.0	480.0	1659.0	958.0	855.0	1676.0	1035.0	1837.0	2053.0	2179.0	1936.0	1902.0	2064.0	2478.0	637.0	367.0	388.0	1182.0	277.0	534.0	2412.0	2148.0	260.0	282.0	819.0	1489.0	1271.0	1450.0	2429.0	956.0	452.0	852.0	1442.0	965.0	229.0	1810.0	785.0	2109.0	524.0	2615.0	938.0	996.0	439.0	688.0	1414.0	261.0	698.0	1066.0	1267.0	543.0	2219.0	887.0	830.0	331.0	852.0	1390.0	3845.0	180.0	91315.5
Caltech_0051462	963.0	1182.0	900.0	1354.0	484.0	2030.0	1332.0	1196.0	404.0	144.0	1431.0	1133.0	235.0	791.0	4193.0	5871.0	481.0	475.0	1631.0	858.0	1272.0	2064.0	1051.0	2244.0	1650.0	2416.0	1640.0	1453.0	2003.0	2036.0	642.0	568.0	473.0	1545.0	644.0	897.0	2462.0	2091.0	171.0	196.0	1087.0	1733.0	1350.0	1856.0	2238.0	968.0	325.0	1079.0	1338.0	861.0	436.0	1979.0	1025.0	3303.0	696.0	2181.0	953.0	827.0	584.0	874.0	1779.0	244.0	747.0	1315.0	1636.0	904.0	2115.0	1108.0	1444.0	378.0	867.0	1202.0	3888.0	348.0	98271.7
Caltech_0051463	1087.0	916.0	934.0	921.0	598.0	1983.0	1028.0	1128.0	420.0	147.0	1338.0	1090.0	116.0	677.0	4045.0	5431.0	440.0	486.0	1331.0	967.0	1718.0	2179.0	914.0	1931.0	1539.0	2213.0	1846.0	1496.0	1976.0	1784.0	682.0	605.0	375.0	1706.0	571.0	1071.0	2039.0	2144.0	215.0	147.0	1165.0	1881.0	1258.0	1828.0	2207.0	808.0	333.0	997.0	1169.0	896.0	369.0	2056.0	1246.0	2689.0	316.0	2143.0	1018.0	752.0	606.0	813.0	1311.0	378.0	633.0	1233.0	1657.0	934.0	2012.0	1038.0	1445.0	617.0	789.0	691.0	4687.0	237.0	94447.2
Caltech_0051464	1012.0	1486.0	1047.0	1302.0	689.0	2491.0	1301.0	1359.0	647.0	240.0	1527.0	1525.0	329.0	1155.0	4710.0	6923.0	484.0	614.0	2117.0	1146.0	1620.0	2481.0	1109.0	2342.0	2111.0	2988.0	2773.0	1981.0	2294.0	2364.0	941.0	278.0	585.0	2198.0	625.0	1141.0	2833.0	2575.0	303.0	337.0	1080.0	1841.0	1371.0	2420.0	2564.0	765.0	484.0	1378.0	1772.0	946.0	381.0	2655.0	1452.0	3391.0	413.0	3355.0	955.0	1141.0	703.0	936.0	1832.0	406.0	921.0	1429.0	1543.0	1137.0	2714.0	1395.0	1490.0	531.0	1500.0	1202.0	5766.0	243.0	118098.0
Caltech_0051465	886.0	1072.0	1023.0	1281.0	558.0	1381.0	977.0	1022.0	370.0	254.0	1613.0	866.0	271.0	776.0	3177.0	4806.0	216.0	406.0	1368.0	1287.0	1296.0	1695.0	702.0	1812.0	1467.0	2288.0	1746.0	1389.0	1885.0	1490.0	620.0	343.0	437.0	1365.0	459.0	754.0	1797.0	2195.0	255.0	227.0	1058.0	1634.0	1054.0	1574.0	2220.0	785.0	429.0	979.0	1391.0	600.0	314.0	1405.0	1215.0	2169.0	65.0	1818.0	820.0	755.0	593.0	864.0	1367.0	258.0	423.0	871.0	1605.0	818.0	1816.0	1362.0	1057.0	385.0	523.0	957.0	3892.0	307.0	85217.9
