rh.aparc.a2009s.area	rh_G_and_S_frontomargin_area	rh_G_and_S_occipital_inf_area	rh_G_and_S_paracentral_area	rh_G_and_S_subcentral_area	rh_G_and_S_transv_frontopol_area	rh_G_and_S_cingul-Ant_area	rh_G_and_S_cingul-Mid-Ant_area	rh_G_and_S_cingul-Mid-Post_area	rh_G_cingul-Post-dorsal_area	rh_G_cingul-Post-ventral_area	rh_G_cuneus_area	rh_G_front_inf-Opercular_area	rh_G_front_inf-Orbital_area	rh_G_front_inf-Triangul_area	rh_G_front_middle_area	rh_G_front_sup_area	rh_G_Ins_lg_and_S_cent_ins_area	rh_G_insular_short_area	rh_G_occipital_middle_area	rh_G_occipital_sup_area	rh_G_oc-temp_lat-fusifor_area	rh_G_oc-temp_med-Lingual_area	rh_G_oc-temp_med-Parahip_area	rh_G_orbital_area	rh_G_pariet_inf-Angular_area	rh_G_pariet_inf-Supramar_area	rh_G_parietal_sup_area	rh_G_postcentral_area	rh_G_precentral_area	rh_G_precuneus_area	rh_G_rectus_area	rh_G_subcallosal_area	rh_G_temp_sup-G_T_transv_area	rh_G_temp_sup-Lateral_area	rh_G_temp_sup-Plan_polar_area	rh_G_temp_sup-Plan_tempo_area	rh_G_temporal_inf_area	rh_G_temporal_middle_area	rh_Lat_Fis-ant-Horizont_area	rh_Lat_Fis-ant-Vertical_area	rh_Lat_Fis-post_area	rh_Pole_occipital_area	rh_Pole_temporal_area	rh_S_calcarine_area	rh_S_central_area	rh_S_cingul-Marginalis_area	rh_S_circular_insula_ant_area	rh_S_circular_insula_inf_area	rh_S_circular_insula_sup_area	rh_S_collat_transv_ant_area	rh_S_collat_transv_post_area	rh_S_front_inf_area	rh_S_front_middle_area	rh_S_front_sup_area	rh_S_interm_prim-Jensen_area	rh_S_intrapariet_and_P_trans_area	rh_S_oc_middle_and_Lunatus_area	rh_S_oc_sup_and_transversal_area	rh_S_occipital_ant_area	rh_S_oc-temp_lat_area	rh_S_oc-temp_med_and_Lingual_area	rh_S_orbital_lateral_area	rh_S_orbital_med-olfact_area	rh_S_orbital-H_Shaped_area	rh_S_parieto_occipital_area	rh_S_pericallosal_area	rh_S_postcentral_area	rh_S_precentral-inf-part_area	rh_S_precentral-sup-part_area	rh_S_suborbital_area	rh_S_subparietal_area	rh_S_temporal_inf_area	rh_S_temporal_sup_area	rh_S_temporal_transverse_area	rh_WhiteSurfArea_area
Caltech_0051456	865.0	1042.0	1114.0	1104.0	1316.0	1857.0	1039.0	1215.0	416.0	229.0	1506.0	920.0	185.0	800.0	3403.0	4816.0	398.0	465.0	1416.0	1195.0	1165.0	1750.0	754.0	1902.0	2507.0	1888.0	1508.0	1820.0	2010.0	1758.0	610.0	244.0	308.0	1328.0	540.0	603.0	1602.0	2257.0	286.0	178.0	1099.0	2384.0	1325.0	1589.0	2481.0	918.0	395.0	967.0	1061.0	619.0	405.0	1649.0	1852.0	1929.0	346.0	2362.0	785.0	1133.0	770.0	780.0	1759.0	234.0	646.0	851.0	1400.0	1237.0	1889.0	1382.0	1109.0	260.0	1064.0	575.0	4118.0	127.0	91817.4
Caltech_0051457	1102.0	1261.0	1080.0	1051.0	919.0	2574.0	1476.0	1011.0	562.0	246.0	1387.0	1273.0	343.0	830.0	4323.0	6093.0	417.0	536.0	1918.0	1287.0	1890.0	2008.0	1535.0	2413.0	2158.0	2182.0	2702.0	1704.0	2424.0	1840.0	540.0	287.0	358.0	1746.0	680.0	735.0	2093.0	2429.0	357.0	143.0	1113.0	2639.0	1326.0	1412.0	2138.0	912.0	549.0	924.0	1320.0	820.0	550.0	2393.0	1862.0	2756.0	509.0	2023.0	900.0	936.0	896.0	657.0	1931.0	498.0	587.0	1527.0	1391.0	1768.0	2423.0	1425.0	1398.0	348.0	1488.0	866.0	5519.0	357.0	108071.0
Caltech_0051458	661.0	834.0	1042.0	940.0	702.0	2477.0	1278.0	1283.0	430.0	231.0	1013.0	900.0	153.0	592.0	3078.0	4372.0	349.0	324.0	1491.0	1177.0	1171.0	1645.0	1009.0	1921.0	2209.0	1853.0	1813.0	1493.0	1808.0	1764.0	560.0	258.0	326.0	1167.0	435.0	521.0	1949.0	2241.0	284.0	103.0	945.0	2085.0	1417.0	1510.0	2142.0	905.0	334.0	886.0	925.0	468.0	571.0	1417.0	1845.0	2415.0	48.0	2692.0	637.0	1018.0	454.0	682.0	1623.0	339.0	571.0	1225.0	1377.0	1291.0	1357.0	1433.0	1081.0	219.0	856.0	1244.0	5077.0	281.0	89225.1
Caltech_0051459	824.0	925.0	938.0	921.0	806.0	2472.0	1433.0	1497.0	494.0	214.0	1815.0	1007.0	252.0	1075.0	3071.0	4812.0	355.0	509.0	1754.0	1303.0	1218.0	1703.0	697.0	2219.0	1914.0	2282.0	1695.0	1518.0	2718.0	1965.0	553.0	439.0	349.0	1407.0	618.0	742.0	1855.0	2628.0	350.0	227.0	1106.0	2868.0	1414.0	1886.0	2849.0	936.0	464.0	817.0	1070.0	779.0	499.0	1897.0	1717.0	1944.0	108.0	2494.0	1092.0	1136.0	595.0	827.0	1584.0	371.0	612.0	1282.0	1816.0	1429.0	2053.0	1058.0	1450.0	396.0	931.0	1135.0	4210.0	240.0	98640.8
Caltech_0051460	707.0	942.0	710.0	1012.0	876.0	2002.0	1144.0	1105.0	350.0	167.0	1775.0	1169.0	303.0	582.0	2781.0	5155.0	337.0	462.0	1476.0	1520.0	1642.0	2396.0	934.0	2142.0	2166.0	1609.0	1745.0	1242.0	1877.0	1715.0	521.0	303.0	265.0	1230.0	414.0	726.0	1895.0	1979.0	211.0	145.0	998.0	2368.0	1195.0	2314.0	2271.0	968.0	529.0	819.0	1130.0	847.0	401.0	1879.0	1843.0	2055.0	225.0	2683.0	866.0	1177.0	567.0	716.0	1129.0	338.0	622.0	1070.0	1712.0	1385.0	1665.0	1155.0	1275.0	297.0	537.0	763.0	4022.0	174.0	91726.1
Caltech_0051461	562.0	1156.0	893.0	894.0	631.0	2573.0	1082.0	1255.0	280.0	159.0	1279.0	1380.0	204.0	564.0	3530.0	4966.0	428.0	477.0	1869.0	1136.0	1171.0	1686.0	931.0	1897.0	1898.0	2111.0	1674.0	1588.0	1724.0	1850.0	431.0	381.0	285.0	1160.0	425.0	533.0	1697.0	2471.0	246.0	90.0	1123.0	2095.0	1202.0	1429.0	2130.0	1101.0	379.0	848.0	1174.0	768.0	314.0	1770.0	2102.0	2300.0	363.0	2195.0	832.0	716.0	504.0	599.0	1304.0	446.0	668.0	1070.0	1703.0	606.0	2323.0	1475.0	911.0	59.0	1047.0	1013.0	4528.0	148.0	90809.6
Caltech_0051462	846.0	1498.0	762.0	1036.0	1047.0	2319.0	1289.0	1126.0	377.0	136.0	1393.0	936.0	178.0	727.0	4242.0	5403.0	325.0	401.0	1482.0	1292.0	1494.0	2108.0	1305.0	2086.0	1925.0	2133.0	1508.0	1451.0	2108.0	1894.0	575.0	436.0	317.0	1198.0	679.0	722.0	2119.0	2553.0	267.0	153.0	1086.0	2813.0	1337.0	1791.0	2036.0	1099.0	436.0	969.0	1060.0	954.0	492.0	1937.0	2106.0	2802.0	385.0	2241.0	790.0	915.0	526.0	848.0	1527.0	362.0	720.0	1382.0	1626.0	1139.0	2253.0	1520.0	1485.0	342.0	945.0	1141.0	5071.0	282.0	100269.0
Caltech_0051463	810.0	1202.0	953.0	925.0	892.0	1965.0	1237.0	1144.0	303.0	162.0	1684.0	1059.0	144.0	747.0	3822.0	5498.0	327.0	494.0	1653.0	1062.0	1203.0	1727.0	1094.0	1998.0	1806.0	1643.0	1549.0	1468.0	1736.0	1656.0	559.0	300.0	293.0	1403.0	557.0	666.0	2053.0	2012.0	238.0	147.0	1126.0	2200.0	1302.0	1771.0	2020.0	987.0	392.0	898.0	967.0	918.0	455.0	1616.0	2211.0	2382.0	183.0	2518.0	736.0	1110.0	612.0	659.0	1495.0	301.0	832.0	1233.0	1836.0	1231.0	2100.0	1370.0	1179.0	273.0	905.0	1226.0	5302.0	242.0	94784.3
Caltech_0051464	851.0	1447.0	1018.0	1177.0	1669.0	3115.0	1366.0	1419.0	459.0	225.0	1958.0	1165.0	358.0	1100.0	4488.0	6042.0	567.0	650.0	2373.0	1711.0	1622.0	2020.0	1435.0	2588.0	3165.0	2558.0	1953.0	1754.0	2904.0	2590.0	708.0	328.0	370.0	1646.0	554.0	727.0	2407.0	3040.0	399.0	300.0	1175.0	2660.0	1414.0	2144.0	2333.0	1274.0	586.0	1254.0	1303.0	1071.0	480.0	2093.0	2350.0	3506.0	745.0	2784.0	1246.0	1527.0	583.0	900.0	1666.0	401.0	734.0	1629.0	2304.0	1706.0	2200.0	1948.0	1777.0	413.0	1375.0	1505.0	6461.0	238.0	122010.0
Caltech_0051465	695.0	941.0	848.0	1056.0	856.0	1903.0	968.0	821.0	499.0	220.0	1410.0	811.0	312.0	1046.0	2770.0	4775.0	343.0	383.0	1185.0	1223.0	1378.0	1840.0	807.0	1707.0	2164.0	1636.0	1487.0	1595.0	1678.0	1739.0	443.0	343.0	224.0	1190.0	396.0	637.0	1559.0	2119.0	367.0	191.0	1174.0	2116.0	1088.0	1469.0	2014.0	796.0	395.0	919.0	1022.0	736.0	474.0	1932.0	1617.0	2038.0	427.0	2273.0	664.0	1001.0	444.0	843.0	1393.0	315.0	518.0	983.0	1732.0	1062.0	1922.0	1231.0	947.0	197.0	710.0	645.0	4472.0	248.0	86385.9
