lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area
Caltech_0051456	894.0	548.0	2383.0	1531.0	437.0	3302.0	4423.0	3375.0	1367.0	4934.0	2780.0	3030.0	1815.0	3366.0	824.0	1450.0	1842.0	623.0	1463.0	1223.0	4631.0	1168.0	5266.0	4053.0	918.0	6327.0	7899.0	6295.0	3994.0	4188.0	239.0	477.0	440.0	2506.0	90011.3
Caltech_0051457	1237.0	829.0	3386.0	1484.0	531.0	4341.0	6146.0	3965.0	1317.0	6009.0	3432.0	3321.0	2231.0	3978.0	1070.0	2445.0	2004.0	888.0	1537.0	1785.0	5488.0	1324.0	6377.0	4689.0	1071.0	8493.0	9593.0	6689.0	4575.0	4992.0	273.0	568.0	697.0	2962.0	109725.0
Caltech_0051458	1367.0	717.0	2334.0	1108.0	444.0	3412.0	5474.0	3537.0	979.0	5738.0	2884.0	2731.0	2363.0	3439.0	986.0	1428.0	2092.0	691.0	1479.0	946.0	3733.0	1405.0	5325.0	3444.0	991.0	6635.0	7987.0	4507.0	3803.0	3951.0	231.0	544.0	546.0	2265.0	89521.5
Caltech_0051459	1234.0	791.0	2885.0	1542.0	484.0	3225.0	4446.0	4038.0	1101.0	6159.0	3426.0	2757.0	2423.0	4038.0	760.0	1651.0	2289.0	746.0	1388.0	1513.0	4330.0	1715.0	5872.0	4077.0	881.0	6603.0	9025.0	6201.0	4604.0	5149.0	185.0	578.0	510.0	2392.0	99019.1
Caltech_0051460	1006.0	694.0	2714.0	1766.0	473.0	3196.0	4264.0	3587.0	1062.0	6018.0	2971.0	3286.0	2022.0	3466.0	833.0	1403.0	1777.0	692.0	1220.0	1624.0	4304.0	1183.0	4982.0	3084.0	856.0	6750.0	8274.0	6106.0	4021.0	4191.0	213.0	461.0	637.0	2268.0	91406.4
Caltech_0051461	1243.0	454.0	2329.0	1264.0	501.0	2930.0	6112.0	4130.0	909.0	5088.0	3088.0	2547.0	2147.0	3221.0	768.0	1742.0	2262.0	572.0	1598.0	1362.0	4799.0	1035.0	5479.0	4386.0	711.0	5394.0	9023.0	5734.0	2924.0	3907.0	290.0	485.0	495.0	2388.0	91315.5
Caltech_0051462	1036.0	1101.0	3882.0	1571.0	557.0	3728.0	4471.0	4439.0	1004.0	5809.0	3378.0	3134.0	1930.0	3051.0	814.0	1387.0	2007.0	765.0	1221.0	1650.0	4468.0	1446.0	5464.0	4287.0	1017.0	6337.0	9167.0	4900.0	4581.0	5063.0	258.0	588.0	623.0	3137.0	98271.7
Caltech_0051463	1455.0	787.0	3255.0	1480.0	375.0	3937.0	4440.0	3429.0	1053.0	5436.0	3055.0	3163.0	2376.0	3435.0	669.0	1343.0	1947.0	708.0	1123.0	1436.0	4107.0	1426.0	5234.0	3863.0	1059.0	7150.0	8433.0	5229.0	4602.0	4749.0	263.0	531.0	478.0	2420.0	94447.2
Caltech_0051464	1460.0	1006.0	3650.0	1685.0	531.0	4292.0	6923.0	4662.0	1588.0	6200.0	3704.0	3718.0	2743.0	4228.0	825.0	1554.0	2952.0	910.0	1929.0	1827.0	5308.0	1436.0	6289.0	5128.0	1224.0	8390.0	10755.0	7132.0	5668.0	5821.0	332.0	552.0	601.0	3076.0	118098.0
Caltech_0051465	1380.0	761.0	2342.0	1723.0	240.0	3248.0	4066.0	3357.0	1021.0	5168.0	2629.0	2696.0	1704.0	3243.0	653.0	1537.0	1655.0	710.0	1381.0	1134.0	4179.0	1188.0	5258.0	3549.0	705.0	6124.0	7186.0	5138.0	3725.0	4080.0	171.0	468.0	624.0	2179.0	85217.9
Caltech_0051466	967.0	550.0	2496.0	1327.0	498.0	3057.0	4867.0	3527.0	1132.0	5723.0	3154.0	2824.0	2127.0	3505.0	779.0	1730.0	1980.0	738.0	1364.0	1145.0	4914.0	1146.0	6204.0	4262.0	921.0	6560.0	8462.0	6320.0	3890.0	4599.0	259.0	481.0	330.0	2456.0	94291.5
Caltech_0051467	1340.0	711.0	3018.0	1712.0	384.0	3509.0	6339.0	4336.0	1324.0	5876.0	3564.0	3098.0	2504.0	3914.0	753.0	1726.0	2637.0	801.0	1523.0	1408.0	5144.0	1461.0	6575.0	4543.0	1081.0	6670.0	9085.0	6467.0	3985.0	4062.0	277.0	392.0	450.0	2942.0	103611.0
Caltech_0051468	1216.0	760.0	2567.0	1453.0	541.0	3980.0	5214.0	3646.0	1368.0	5578.0	3537.0	3159.0	2167.0	3753.0	906.0	1602.0	1953.0	860.0	1438.0	1367.0	4462.0	1722.0	5588.0	4225.0	1095.0	7607.0	10118.0	6717.0	5411.0	5150.0	228.0	516.0	690.0	2481.0	103073.0
Caltech_0051469	1503.0	832.0	2882.0	1827.0	488.0	4047.0	5904.0	3482.0	1048.0	4894.0	2802.0	4021.0	1752.0	3262.0	700.0	1379.0	1718.0	596.0	1421.0	1898.0	4416.0	1305.0	5408.0	4299.0	1034.0	7509.0	7777.0	6118.0	4280.0	3702.0	248.0	580.0	371.0	2121.0	95623.4
Caltech_0051470	1355.0	884.0	2814.0	1770.0	556.0	4099.0	6065.0	4267.0	1333.0	5990.0	3657.0	3036.0	2905.0	3863.0	830.0	2305.0	1946.0	857.0	1849.0	1638.0	4802.0	2030.0	5442.0	4586.0	1304.0	8429.0	9339.0	6582.0	5425.0	4947.0	228.0	507.0	532.0	2919.0	109092.0
Caltech_0051471	692.0	518.0	2090.0	1317.0	363.0	3276.0	4011.0	3199.0	1171.0	4869.0	2724.0	2844.0	1760.0	2743.0	519.0	1123.0	1574.0	629.0	1185.0	1116.0	3692.0	1065.0	4718.0	3775.0	554.0	5129.0	7058.0	5371.0	3231.0	3420.0	161.0	502.0	457.0	2035.0	78891.5
Caltech_0051472	1367.0	674.0	2590.0	1670.0	562.0	3993.0	5648.0	4508.0	1288.0	6075.0	2921.0	2661.0	2062.0	3730.0	890.0	1673.0	2041.0	771.0	1529.0	1473.0	4746.0	1240.0	5550.0	4781.0	1067.0	7715.0	8747.0	6494.0	4242.0	4863.0	220.0	545.0	568.0	2549.0	101452.0
Caltech_0051473	1104.0	908.0	1837.0	1572.0	431.0	3151.0	4887.0	4324.0	1167.0	5515.0	3062.0	4082.0	2023.0	3582.0	806.0	1526.0	1979.0	826.0	1726.0	1394.0	5461.0	1105.0	5555.0	4201.0	1362.0	7105.0	8983.0	6257.0	4065.0	4161.0	197.0	464.0	559.0	2396.0	97775.7
Caltech_0051474	1338.0	714.0	2678.0	1376.0	470.0	3772.0	5749.0	3885.0	953.0	6547.0	3341.0	3169.0	1979.0	3545.0	695.0	1426.0	1984.0	817.0	2073.0	1419.0	4901.0	1340.0	6319.0	4056.0	881.0	7109.0	7652.0	6183.0	4201.0	3770.0	171.0	434.0	461.0	2575.0	97983.5
Caltech_0051476	1312.0	673.0	2618.0	1557.0	482.0	3627.0	4894.0	3865.0	882.0	4668.0	2862.0	2951.0	2890.0	3110.0	657.0	1322.0	1595.0	857.0	1499.0	1285.0	4636.0	1024.0	6119.0	3893.0	1064.0	6663.0	7773.0	6924.0	3925.0	3691.0	251.0	516.0	386.0	2185.0	92654.1
Caltech_0051477	1025.0	608.0	2083.0	1389.0	502.0	3702.0	3822.0	3166.0	896.0	4984.0	2738.0	3268.0	2045.0	2870.0	692.0	1257.0	1615.0	647.0	1249.0	1424.0	4026.0	1209.0	4687.0	3893.0	725.0	5469.0	6575.0	5361.0	3816.0	3709.0	191.0	514.0	506.0	2055.0	82718.0
Caltech_0051478	1071.0	615.0	3211.0	1716.0	469.0	3879.0	5250.0	3992.0	1080.0	5528.0	2859.0	3814.0	1658.0	3961.0	613.0	1581.0	1787.0	681.0	1423.0	2005.0	5184.0	1301.0	6026.0	4322.0	927.0	7264.0	8861.0	5818.0	4125.0	4098.0	242.0	524.0	382.0	2532.0	98798.4
Caltech_0051479	846.0	401.0	2363.0	1348.0	316.0	2875.0	4201.0	2695.0	843.0	4437.0	2270.0	2966.0	1530.0	2767.0	740.0	1239.0	1641.0	594.0	1339.0	1365.0	3836.0	1038.0	4330.0	3442.0	996.0	4802.0	6443.0	5964.0	3744.0	3181.0	163.0	417.0	481.0	2032.0	77641.7
