rh.aparc.area	rh_bankssts_area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_frontalpole_area	rh_temporalpole_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area
Caltech_0051456	1089.0	884.0	2660.0	1621.0	372.0	3042.0	5801.0	3050.0	1101.0	5449.0	2449.0	2906.0	2073.0	3515.0	784.0	1779.0	1425.0	657.0	1538.0	1482.0	4939.0	1518.0	5721.0	3961.0	610.0	7123.0	7350.0	5478.0	3792.0	3831.0	329.0	437.0	369.0	2680.0	91817.4
Caltech_0051457	1020.0	1125.0	3036.0	1508.0	463.0	4464.0	6378.0	3283.0	1344.0	6209.0	3458.0	3051.0	2159.0	4120.0	1327.0	1934.0	1671.0	1106.0	1964.0	1428.0	4904.0	1580.0	6497.0	4346.0	1149.0	8982.0	9164.0	6585.0	5121.0	4611.0	410.0	556.0	428.0	2694.0	108071.0
Caltech_0051458	1141.0	1056.0	2574.0	1188.0	402.0	3145.0	6197.0	3502.0	1001.0	4505.0	2793.0	2721.0	2250.0	3766.0	911.0	1854.0	1445.0	815.0	1261.0	1257.0	3919.0	1343.0	5446.0	3854.0	893.0	6535.0	7200.0	5598.0	3613.0	3605.0	315.0	520.0	385.0	2216.0	89225.1
Caltech_0051459	885.0	1071.0	1687.0	1910.0	306.0	3554.0	5063.0	3687.0	1235.0	6063.0	3219.0	2790.0	2178.0	4315.0	589.0	1681.0	1669.0	890.0	2102.0	1577.0	4449.0	1720.0	7037.0	4510.0	851.0	7152.0	8182.0	6099.0	4258.0	4195.0	382.0	404.0	379.0	2551.0	98640.8
Caltech_0051460	836.0	1021.0	2380.0	1846.0	349.0	3535.0	5399.0	3346.0	909.0	5412.0	2913.0	3659.0	2208.0	3408.0	614.0	1271.0	1665.0	922.0	1287.0	1893.0	3983.0	1432.0	5561.0	3727.0	846.0	6719.0	7729.0	6545.0	3606.0	3376.0	339.0	446.0	299.0	2244.0	91726.1
Caltech_0051461	1161.0	541.0	2996.0	1488.0	336.0	3130.0	4928.0	3040.0	754.0	5453.0	2752.0	2768.0	2015.0	3966.0	606.0	1761.0	2042.0	860.0	1214.0	1285.0	4527.0	992.0	5355.0	4266.0	648.0	6695.0	8243.0	5464.0	3617.0	4122.0	213.0	419.0	427.0	2728.0	90809.6
Caltech_0051462	1376.0	863.0	3483.0	1499.0	405.0	3876.0	5360.0	4047.0	942.0	6154.0	3170.0	3247.0	2234.0	4025.0	798.0	1742.0	1605.0	863.0	1438.0	1678.0	4572.0	1253.0	5859.0	4339.0	819.0	7705.0	9014.0	5429.0	4019.0	4334.0	347.0	527.0	432.0	2814.0	100269.0
Caltech_0051463	1103.0	833.0	2603.0	1825.0	345.0	3294.0	6339.0	3798.0	1021.0	5228.0	3004.0	2966.0	2004.0	3701.0	779.0	1730.0	1665.0	806.0	1409.0	1554.0	4237.0	1076.0	5297.0	4082.0	753.0	7794.0	8608.0	5406.0	4169.0	3514.0	274.0	464.0	395.0	2710.0	94784.3
Caltech_0051464	1424.0	956.0	3794.0	2157.0	463.0	4442.0	9476.0	4514.0	1518.0	6335.0	3834.0	3345.0	2698.0	4781.0	819.0	1917.0	2211.0	1104.0	2269.0	1901.0	4956.0	1552.0	7291.0	5899.0	1100.0	9266.0	10603.0	6950.0	4868.0	4882.0	466.0	509.0	401.0	3308.0	122010.0
Caltech_0051465	1256.0	782.0	2325.0	1571.0	248.0	3386.0	5310.0	2966.0	1104.0	4743.0	2540.0	2811.0	1720.0	3459.0	637.0	1452.0	1505.0	719.0	1920.0	1332.0	4469.0	1115.0	4859.0	4004.0	543.0	6341.0	7224.0	5191.0	3568.0	3799.0	301.0	372.0	355.0	2457.0	86385.9
Caltech_0051466	1155.0	726.0	2650.0	1316.0	377.0	3074.0	4606.0	3038.0	1011.0	5386.0	3008.0	3142.0	2475.0	4022.0	724.0	1926.0	1758.0	781.0	1273.0	1346.0	4334.0	1103.0	5445.0	4485.0	795.0	5999.0	8615.0	6233.0	3848.0	4494.0	302.0	410.0	326.0	2649.0	92831.8
